scheduleId,initialized,revocable,revoked,beneficiary,cliff,start,duration,slicePeriodSeconds,amountTotal,immediatelyReleasableAmount,released,staked,withdrawn,left,rewardsPaid
0x5911f1a5a81be0f1178b34f276d0fe51a72dee9bc8e416251da0b2a23a8bf13e,true,true,false,0x561Af78057FFb99bc8313CFB43ea4314aAeB075D,1652630400,1644854400,62208000,1,1333333000000000000000000,133333300000000000000000,0,0,0,0,0
0x2ea0bb680de2f308b2830aa2efd0a94d09345f74128833b4f0f0fcc73995020b,true,true,false,0x71A385c5CBD812f58A754fE85Bab3Eb9df1955b6,1652630400,1644854400,62208000,1,1666666000000000000000000,166666600000000000000000,166666600000000000000000,0,0,0,0
0x56ffcd2b1af464f5ba290155c24ec00aee42132684a5539e5281095854b7abcb,true,true,false,0xA6D0B36277F9B697fD9c7cd89Dd980f29EC12735,1652630400,1644854400,62208000,1,7200000000000000000000000,720000000000000000000000,3275095595238095238095238,0,0,0,0
0x1be5082d7b0eb934360df2229aed223a1e651b441b10a2625ac86e04029a0566,true,true,false,0x669ea62971E16E306b9C353fBbdA277f3660bD13,1652630400,1644854400,62208000,1,800000000000000000000000,80000000000000000000000,80000000000000000000000,80005000000000000000000,0,80005000000000000000000,0
0x7767322a57e9220df11827fd88a5250065b383c816abebd8e18f056fb657ef49,true,true,false,0x276651CF20Ef719Dd3faE29e75f63E1603507517,1652630400,1644854400,62208000,1,600000000000000000000000,60000000000000000000000,244440109126984126984126,0,0,0,0
0xd317c8546c1dab13af4ca5be0895c67712128e1aeb96a9b0af0ee088f6e62f49,true,true,false,0xd007C28E962a9a06366345fD5a460CFC1fD6DC4f,1652630400,1644854400,62208000,1,300000000000000000000000,30000000000000000000000,30000000000000000000000,30005000000000000000000,30005000000000000000000,0,3192677106881277987975
0x3134495da037545c57d6998cba0e1ff012fd998487a809d146cb37c4e9eb038e,true,true,false,0x70700Df3CEb07eB5B94175336D4D0ccC08226502,1652630400,1644854400,62208000,1,2500000000000000000000000,250000000000000000000000,250000000000000000000000,0,0,0,0
0x1081c8d7d52bfe4220f1dfc9fc7ebb9979ae5dfca3322910350975ae2e917afb,true,true,false,0x815070A584d52384A1CdbFf844a38ae657e93aC8,1652630400,1644854400,62208000,1,800000000000000000000000,80000000000000000000000,80000000000000000000000,0,0,0,0
0x25f8c98e012b23879f39699112072e4597302575bed4fd80cff2f75139e115df,true,true,false,0x2BEe1A23473D3C57Eff1e5467c3E93DdaDcc541D,1652630400,1644854400,62208000,1,666667000000000000000000,66666700000000000000000,66666700000000000000000,76456700000000000000000,76456700000000000000000,0,18860664408477677802276
0x504e22cb72b135bfcdc720ea8014120df55cadb7e1e57e0711348e7b3dddfcab,true,true,false,0x258036055c9dCCfD261db0022B472ea286d7bE93,1652630400,1644854400,62208000,1,3333334000000000000000000,333333400000000000000000,1514273395888128306878306,0,0,0,0
0x8ea5556862dcbe5a0c3b302ce2f74e9c3561916c6ac92373160997f4603a96a5,true,true,false,0x998Df33b4Bb6A193104236dDC23Eaf50eA303D6c,1652630400,1644854400,62208000,1,500000000000000000000000,50000000000000000000000,174525090939153439153439,50010000000000000000000,50010000000000000000000,0,6071596571019352689720
0xe532ebaa602ece20c3a91f01744c388e460c2b0129e4b739c1fb53a17a29ec08,true,true,false,0x906b2A0B0806360dAc05d74c9C0bE4D693aBDEe3,1652630400,1644854400,62208000,1,500000000000000000000000,50000000000000000000000,50000000000000000000000,0,0,0,0
0xe0dfd8a520d705b9bc4df72276d9f8d6795dc543687271e7a59e52693a075190,true,true,false,0x126fF9300aB4a9c9208afC9D9103dDfFC1729a90,1652630400,1644854400,62208000,1,500000000000000000000000,50000000000000000000000,223233325066137566137566,58015000000000000000000,58015000000000000000000,0,13700402322290559009415
0x96c623d009edc60d8eb95bc1f94c4ae8b6eb88b042eeb81159cfadaaf59686a6,true,true,false,0xE7cEf568405e37EFe63C6B042431571F18A314aA,1652630400,1644854400,62208000,1,6000000000000000000000000,600000000000000000000000,2706502281746031746031746,0,0,0,0
0x95cb3b26141533bb75849b7886d7c5c7689881b743aad2a8f494d62ebf44b7f4,true,true,false,0x73E042bfFDfa21697e69e7E2d5B1f984d507bD2B,1652630400,1644854400,62208000,1,3125000000000000000000000,312500000000000000000000,1209179635830026455026455,312505000000000000000000,312505000000000000000000,0,34854151144227792712080
0xa09addf09d42c0b2ae935a6ef1a74ff37cffe7c42c8a563972f5cd9850cfbb8c,true,true,false,0xfD6231A29661100e9F7E68d37730b040E24caD28,1652630400,1644854400,62208000,1,35000000000000000000000000,3500000000000000000000000,16276061921296296296296296,0,0,0,0
